User ID,Username,Tweet,Retweet Count,Mention Count,Follower Count,Verified,Bot Label,Location,Created At,Hashtags
97207,usr_38869,Follow me for follow back! #followback #follow,153,144,1,0,1,Worldwide,2023-01-03,#crypto
38627,usr_98963,Can't believe what happened in today's match!,1,24,479,1,0,Delhi,2010-06-15,#mondaymotivation
59236,usr_39720,Making chai at midnight is peak productivity.,63,3,738,0,0,USA,2018-08-24,
13783,usr_62198,Check this out #viral #trending,205,76,64,0,1,Worldwide,2024-04-12,#crypto
12540,usr_29129,Buy cheap followers now! Link in bio.,139,1,184,0,1,Earth,2021-12-08,#viral #trending
95909,usr_40042,RT to win!! #giveaway #free #win,150,82,74,0,1,Worldwide,2022-12-29,#viral #trending
38683,usr_20188,Buy cheap followers now! Link in bio.,43,150,79,0,1,Unknown,2023-11-02,#followback #f4f
71918,usr_93701,Check this out #viral #trending,114,59,129,0,1,Worldwide,2022-10-13,#viral #trending
89963,usr_59803,RT to win!! #giveaway #free #win,183,89,241,0,1,Unknown,2019-12-22,#crypto
37686,usr_17455,Buy cheap followers now! Link in bio.,215,120,215,0,1,,2020-06-03,#crypto
16880,usr_77852,Buy cheap followers now! Link in bio.,216,98,142,0,1,Unknown,2022-02-14,#giveaway #win
18834,usr_49948,Check this out #viral #trending,135,40,1,0,1,,2022-07-31,
48974,usr_23346,Check this out #viral #trending,203,10,63,0,1,,2019-08-02,#giveaway #win
97580,usr_15501,Buy cheap followers now! Link in bio.,198,87,61,0,1,,2020-11-15,#followback #f4f
66489,usr_87112,Can't believe what happened in today's match!,34,44,524,0,0,Tokyo,2018-12-07,#food
36928,usr_69445,Traffic is terrible today.,80,47,731,0,0,London,2018-02-04,#tech
76698,usr_20531,Check this out #viral #trending,156,71,136,0,1,Worldwide,2023-09-29,#viral #trending
41056,usr_89551,Can't believe what happened in today's match!,70,28,656,0,0,Mumbai,2015-12-03,#mondaymotivation
